date,adjClose,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2019-11-11,58.18,0.4,0.006690000000000001,0.669,60.18,60.33,"November 11, 19",59.72,59.78,1804600.0,1804600.0,60.07667
2019-11-08,58.25,0.12,0.002,0.2,60.25,60.3,"November 08, 19",59.93,60.13,3064800.0,3064800.0,60.16
2019-11-07,58.37,0.13,0.00216,0.216,60.37,60.42,"November 07, 19",59.95,60.24,2370200.0,2370200.0,60.24667
2019-11-06,57.88,-0.42,-0.0069700000000000005,-0.6970000000000001,59.87,60.51,"November 06, 19",59.75,60.29,2170100.0,2170100.0,60.04333
2019-11-05,58.16,0.01,0.00017000000000000004,0.017,60.16,60.16,"November 05, 19",59.74,60.15,3043500.0,3043500.0,60.02
2019-11-04,57.47,-0.23,-0.00385,-0.385,59.44,59.89,"November 04, 19",59.43,59.67,3277100.0,3277100.0,59.58667
2019-11-01,56.7,0.42,0.00721,0.721,58.64,58.83,"November 01, 19",58.19,58.22,3750000.0,3750000.0,58.55333
2019-10-31,56.05,-0.32,-0.00549,-0.549,57.97,58.47,"October 31, 19",57.66,58.29,6078200.0,6078200.0,58.03333
2019-10-30,58.06,0.1,0.00167,0.167,60.05,60.06,"October 30, 19",59.54,59.95,2822500.0,2822500.0,59.88333
2019-10-29,57.94,0.43,0.00723,0.723,59.93,60.16,"October 29, 19",59.41,59.5,2471500.0,2471500.0,59.83333
2019-10-28,57.93,-0.17,-0.00283,-0.28300000000000003,59.92,60.2,"October 28, 19",59.82,60.09,2154200.0,2154200.0,59.98
2019-10-25,57.75,0.46,0.00776,0.776,59.73,59.79,"October 25, 19",59.25,59.27,1119400.0,1119400.0,59.59
2019-10-24,57.59,-0.45,-0.007500000000000001,-0.75,59.57,60.04,"October 24, 19",59.33,60.02,1869700.0,1869700.0,59.64667
2019-10-23,57.63,0.56,0.00948,0.9480000000000001,59.61,59.61,"October 23, 19",58.99,59.05,2220100.0,2220100.0,59.40333
2019-10-22,56.99,0.37,0.00632,0.632,58.94,59.34,"October 22, 19",58.5,58.57,3305000.0,3305000.0,58.92667
2019-10-21,56.35,0.38,0.006560000000000001,0.656,58.28,58.36,"October 21, 19",57.9,57.9,1663600.0,1663600.0,58.18
2019-10-18,55.81,-0.28,-0.00483,-0.483,57.72,58.12,"October 18, 19",57.62,58.0,2998300.0,2998300.0,57.82
2019-10-17,56.23,-0.03,-0.0005200000000000001,-0.052000000000000005,58.16,58.33,"October 17, 19",57.91,58.19,2543200.0,2543200.0,58.13333
2019-10-16,55.49,-0.24,-0.0041600000000000005,-0.41600000000000004,57.39,57.88,"October 16, 19",57.39,57.63,2214500.0,2214500.0,57.55333
2019-10-15,55.63,-0.09,-0.0015600000000000002,-0.156,57.54,57.95,"October 15, 19",57.47,57.63,2399900.0,2399900.0,57.65333
2019-10-14,55.9,0.27,0.004690000000000001,0.46900000000000003,57.82,57.96,"October 14, 19",57.47,57.55,1519800.0,1519800.0,57.75
2019-10-11,55.93,0.05,0.00087,0.08700000000000001,57.85,58.21,"October 11, 19",57.77,57.8,2365500.0,2365500.0,57.94333
2019-10-10,55.36,0.21,0.00368,0.368,57.26,57.34,"October 10, 19",56.94,57.05,2286500.0,2286500.0,57.18
2019-10-09,54.67,-0.33,-0.0058000000000000005,-0.58,56.55,56.93,"October 09, 19",56.48,56.88,2009300.0,2009300.0,56.65333
2019-10-08,54.57,-0.61,-0.010690000000000002,-1.069,56.44,57.11,"October 08, 19",56.43,57.05,3122300.0,3122300.0,56.66
2019-10-07,55.28,-0.30000000000000004,-0.005220000000000001,-0.522,57.18,57.77,"October 07, 19",57.16,57.48,1984800.0,1984800.0,57.37
2019-10-04,55.4,0.30000000000000004,0.005260000000000001,0.526,57.3,57.35,"October 04, 19",56.87,57.0,1790100.0,1790100.0,57.17333
2019-10-03,55.1,0.56,0.00992,0.992,56.99,56.99,"October 03, 19",56.13,56.43,2290200.0,2290200.0,56.70333
2019-10-02,54.73,-0.49,-0.00858,-0.858,56.61,57.21,"October 02, 19",56.48,57.1,3659000.0,3659000.0,56.76667
2019-10-01,56.45,-0.28,-0.004770000000000001,-0.47700000000000004,58.39,58.82,"October 01, 19",58.28,58.67,3173500.0,3173500.0,58.49667
2019-09-30,56.9,0.30000000000000004,0.00512,0.512,58.85,59.0,"September 30, 19",58.55,58.55,2814000.0,2814000.0,58.8
2019-09-27,57.15,0.34,0.005790000000000001,0.579,59.11,59.32,"September 27, 19",58.67,58.77,3081700.0,3081700.0,59.03333
2019-09-26,56.61,0.11,0.0018800000000000002,0.188,58.55,58.65,"September 26, 19",58.25,58.44,2640600.0,2640600.0,58.48333
2019-09-25,55.91,0.15,0.0026000000000000003,0.26,57.83,57.95,"September 25, 19",57.57,57.68,1951300.0,1951300.0,57.78333
2019-09-24,55.97,-0.32,-0.0055000000000000005,-0.55,57.89,58.21,"September 24, 19",57.68,58.21,3129900.0,3129900.0,57.92667
2019-09-23,56.56,0.1,0.0017100000000000001,0.171,58.5,58.71,"September 23, 19",58.36,58.4,2159300.0,2159300.0,58.52333
2019-09-20,56.54,-0.09,-0.0015400000000000001,-0.154,58.48,58.76,"September 20, 19",58.32,58.57,2698800.0,2698800.0,58.52
2019-09-19,56.38,-0.5,-0.0085,-0.85,58.31,58.88,"September 19, 19",58.3,58.81,2317100.0,2317100.0,58.49667
2019-09-18,56.29,0.18,0.0031000000000000003,0.31,58.22,58.48,"September 18, 19",57.96,58.04,2163400.0,2163400.0,58.22
2019-09-17,56.16,-0.53,-0.009040000000000001,-0.904,58.09,58.63,"September 17, 19",57.44,58.62,4372300.0,4372300.0,58.05333
2019-09-16,56.07,-0.64,-0.010920000000000001,-1.092,57.99,58.68,"September 16, 19",57.79,58.63,5876300.0,5876300.0,58.15333
